package_name,version,ecosystem,downloads_count,age_days,maintainers_count,dependencies_count,version_major,version_minor,version_patch,is_prerelease,base64_imports,base64_decode_calls,base64_encoded_strings,fernet_usage,aes_usage,rsa_usage,crypto_imports,http_requests,socket_usage,dns_lookups,external_urls_count,ip_addresses_hardcoded,suspicious_domains,file_read_operations,file_write_operations,file_delete_operations,temp_file_usage,sensitive_paths_accessed,eval_calls,exec_calls,subprocess_calls,os_system_calls,shell_commands,obfuscation_score,minified_code,hex_encoded_strings,unicode_obfuscation,string_concatenation_abuse,env_var_access,credential_patterns,token_patterns,password_patterns,api_key_patterns,keylogger_patterns,screenshot_capture,clipboard_access,webcam_access,microphone_access,reverse_shell_patterns,backdoor_patterns,c2_server_patterns,startup_modification,cron_job_creation,registry_modification,has_readme,has_license,has_tests,has_changelog,documentation_score,author_account_age_days,author_other_packages,author_verified,author_email_disposable,typosquatting_score,name_similarity_to_popular,known_vulnerability_count,cve_references,is_malicious
pillow,3.18.36,pypi,268912,3003,4,20,3,18,36,1,1,2,2,1,0,0,0,3,0,1,2,0,0,2,5,0,1,0,0,0,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.73,1257,13,1,0,0.03,0.0,1,0,0
wheel,2.13.17,pypi,333652,2697,20,9,2,13,17,0,0,0,2,0,0,0,2,0,0,0,1,0,0,2,3,0,1,0,1,0,0,1,0,0.14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.9,2126,42,1,0,0.05,0.08,1,0,0
uvicorn,3.15.20,pypi,5642,81,15,26,3,15,20,0,1,1,4,0,0,0,2,5,0,1,5,0,0,16,10,1,1,1,0,1,1,1,1,0.3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.7,718,16,1,1,0.07,0.12,0,0,0
J3y5r,1.3.25,pypi,191,25,1,8,1,3,25,0,5,14,2,0,0,0,6,18,1,1,11,4,3,22,30,9,1,3,3,6,10,5,5,0.99,1,15,1,20,1,7,0,2,5,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0.02,30,0,0,1,0.67,0.72,3,1,1
click,5.1.23,pypi,406586,3551,14,16,5,1,23,1,1,0,0,0,0,0,2,0,0,0,0,0,0,8,1,0,0,0,1,1,0,0,0,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.96,1822,6,1,0,0.05,0.03,0,0,0
morgan,5.12.34,npm,6500373,3493,6,13,5,12,34,1,0,1,1,0,0,0,0,2,1,1,2,0,0,0,3,1,0,0,0,0,0,1,0,0.03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.76,453,38,0,0,0.06,0.09,0,0,0
pytorch,3.8.0,pypi,612,43,17,28,3,8,0,1,1,4,1,0,0,0,0,5,1,0,3,0,0,8,4,0,0,0,2,0,0,1,2,0.25,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.93,360,29,0,0,0.13,0.11,0,0,0
passlib,2.4.13,pypi,8899,135,2,20,2,4,13,0,0,1,4,0,0,0,2,7,0,1,4,1,0,7,11,0,1,0,2,1,1,0,2,0.17,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.96,2000,14,1,0,0.2,0.2,0,0,0
flask,1.5.7,pypi,6112194,3478,4,11,1,5,7,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5,4,1,0,0,0,0,2,0,0,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.83,1265,13,1,0,0.02,0.09,0,0,0
loguru,5.14.18,pypi,9063842,2883,16,17,5,14,18,1,0,2,0,0,0,1,0,0,0,1,2,0,0,6,5,0,0,0,0,1,1,0,1,0.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.68,1948,41,0,0,0.03,0.08,0,0,0
artifact-lab-3-package-e46d5661,1.19.6,pypi,90,15,1,1,1,19,6,0,2,14,20,0,1,1,7,19,1,2,15,0,7,16,26,7,1,6,9,1,7,1,5,0.95,1,7,0,11,0,4,3,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0.17,37,1,0,1,0.84,0.59,2,2,1
hapi,1.11.18,npm,9282,124,14,20,1,11,18,0,1,4,5,1,0,0,4,5,0,0,1,0,0,15,5,1,0,1,1,0,3,0,1,0.34,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.54,2852,28,0,0,0.15,0.23,1,0,0
mysql-import,1.10.22,npm,7808,33,4,27,1,10,22,0,1,4,1,0,0,0,2,7,0,1,3,0,0,6,7,0,1,0,1,1,4,0,2,0.35,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.65,2079,4,0,0,0.24,0.3,0,0,0
@com-delta-idp/core,0.0.47,npm,36500,184,1,4,0,0,47,0,3,5,16,1,0,0,4,15,0,0,5,3,6,20,14,1,0,6,3,8,4,3,4,0.47,1,7,0,12,0,7,6,2,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.35,36,3,0,0,0.41,0.6,5,2,1
@antstackio/express-graphql-proxy,0.10.13,npm,416,22,1,2,0,10,13,1,1,11,19,1,0,1,8,13,0,3,4,2,7,6,20,1,1,10,6,6,6,3,1,0.8,0,6,0,20,1,2,2,3,8,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0.29,58,1,0,0,0.64,0.72,4,3,1
pyopenssl,4.20.17,pypi,8167376,920,6,22,4,20,17,0,1,0,2,1,0,0,2,0,0,1,1,0,0,1,5,0,0,0,0,0,2,0,0,0.06,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.66,2686,42,0,0,0.07,0.13,0,0,0
mysql-import,0.8.22,npm,6783,79,18,28,0,8,22,0,1,1,0,0,0,0,0,4,1,0,3,1,0,17,12,0,0,1,0,0,3,0,3,0.39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.56,1231,2,0,1,0.23,0.24,0,0,0
scikit-learn,0.5.36,pypi,2974781,2167,9,24,0,5,36,1,1,0,2,0,0,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.68,1889,45,1,0,0.04,0.04,1,0,0
pyjwt,0.2.17,pypi,594147,419,9,6,0,2,17,1,1,2,0,1,1,0,0,3,0,0,2,0,0,9,0,1,1,0,0,0,0,0,1,0.03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.69,2536,13,1,0,0.01,0.07,0,0,0
@bs58-utils/wrapper,0.16.8,npm,372,24,1,1,0,16,8,0,1,8,5,1,0,0,3,3,0,0,10,5,6,7,7,2,1,10,7,7,3,2,6,0.9,1,4,0,3,1,10,8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.15,22,2,0,1,0.37,0.9,3,0,1
aeodatav04,1.14.35,pypi,361,13,1,5,1,14,35,1,5,3,5,1,0,0,5,14,0,2,5,5,4,8,12,8,1,10,3,2,4,1,3,0.78,1,0,0,12,0,10,3,2,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0.26,25,1,0,1,0.85,0.96,2,2,1
restify,1.2.33,npm,3714792,3663,8,29,1,2,33,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,2,0,0,0.12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.67,1105,25,1,0,0.05,0.04,0,0,0
cypress,5.15.16,npm,9430979,1806,10,5,5,15,16,0,1,1,1,0,1,1,0,2,1,1,2,0,0,5,1,0,1,0,1,0,2,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.65,493,13,1,0,0.01,0.07,1,0,0
@actbase/react-native-simple-video,4.2.50,npm,258,5,1,3,4,2,50,1,3,3,11,1,1,0,8,20,0,0,12,2,8,17,29,10,1,10,6,3,1,5,6,0.71,1,3,1,10,1,0,8,2,8,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0.21,40,0,0,0,0.7,0.83,5,3,1
@browserbasehq/sdk-functions,2.12.45,npm,9392,153,1,0,2,12,45,0,2,4,16,0,1,0,8,11,0,5,6,3,6,30,14,6,1,0,3,4,7,5,3,0.44,0,1,0,9,1,6,3,4,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.37,63,4,0,1,0.12,0.43,5,2,1
assulthimars,1.2.2,pypi,152,30,1,7,1,2,2,0,2,8,6,1,0,0,4,7,1,5,2,4,3,9,12,10,0,7,3,4,9,4,1,0.65,0,3,1,2,1,1,6,3,6,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0.04,33,1,0,1,0.65,0.39,0,0,1
dotenv,1.12.33,npm,1507010,2389,5,9,1,12,33,1,1,0,1,0,0,1,0,0,0,1,2,0,0,10,3,0,0,0,0,0,1,0,1,0.15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.84,370,21,1,0,0.09,0.1,0,0,0
@apachesling/slingpost,1.10.9,npm,372,0,2,4,1,10,9,0,2,8,4,1,0,0,5,10,1,1,12,0,6,7,23,7,0,9,5,7,6,1,7,0.88,1,15,0,7,1,3,0,3,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0.36,27,1,0,0,0.66,0.86,5,2,1
npm-cli-flag,0.12.50,npm,5158,92,14,23,0,12,50,0,0,2,3,1,1,1,1,3,0,0,5,1,0,6,8,0,0,1,1,1,0,1,0,0.2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.75,1346,9,1,0,0.2,0.11,1,0,0
@contraktor-tech/poc_confusion,3.16.25,npm,472,6,2,1,3,16,25,1,5,12,10,1,0,1,8,16,1,3,11,5,5,22,20,1,1,7,5,6,4,4,6,0.63,1,2,1,7,1,8,4,4,6,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.03,42,1,0,1,0.31,0.51,0,2,1
@abg-mec/fwk-fe-devcraft,2.14.41,npm,278,16,2,4,2,14,41,0,1,15,11,1,1,0,5,8,0,5,7,2,4,13,20,10,1,7,9,8,6,0,7,0.75,0,5,0,17,1,3,0,2,6,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0.09,42,0,0,1,0.43,0.58,4,2,1
@espace-client-axafr/api-mapping,5.12.48,npm,104,13,2,4,5,12,48,0,5,4,12,1,1,0,2,10,1,5,4,0,4,34,13,5,1,10,6,0,3,3,1,0.78,0,4,1,15,1,1,4,1,5,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0.26,28,0,0,0,0.84,0.93,4,2,1
@everreal/web-analytics,0.20.34,npm,428,0,2,7,0,20,34,0,4,4,2,1,1,0,7,11,1,2,8,5,8,11,7,4,0,1,7,8,1,5,6,0.98,0,1,1,17,1,0,8,0,2,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0.26,36,2,0,1,0.9,0.44,5,2,1
@ensdomains/renewal,2.12.48,npm,281,1,1,6,2,12,48,1,1,6,18,1,1,0,4,19,1,4,14,3,8,5,7,4,1,3,6,4,8,5,8,0.73,0,0,1,9,1,4,8,0,8,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0.33,30,0,0,1,0.61,0.56,4,1,1
sqlalchemy,0.10.14,pypi,8242824,2456,5,19,0,10,14,0,0,0,0,0,0,0,0,3,0,1,1,0,0,8,4,0,1,0,0,0,1,0,0,0.08,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.73,865,31,1,0,0.03,0.05,0,0,0
colormore,2.20.44,pypi,339,12,2,5,2,20,44,0,5,6,3,1,1,0,1,14,1,1,5,2,8,14,8,2,0,2,9,4,2,4,1,0.56,1,4,1,14,1,2,2,5,2,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0.21,19,1,0,0,0.48,0.94,3,3,1
@ads-core/types,0.17.35,npm,72,3,1,4,0,17,35,0,3,10,7,1,1,1,3,8,1,1,11,2,4,9,6,10,1,1,9,8,8,5,2,0.52,1,2,1,5,1,9,7,2,5,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0.25,19,2,0,1,0.31,0.69,2,3,1
@espace-client-axafr/advisor-list,0.2.41,npm,8,19,1,7,0,2,41,1,5,9,2,1,1,0,4,17,1,0,5,3,2,24,26,7,1,7,10,0,6,1,5,0.97,1,8,1,15,1,0,6,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0.26,53,0,0,1,0.52,0.94,3,1,1
@didi-pebble/pblint,3.14.24,npm,243,8,1,2,3,14,24,0,4,3,3,0,1,0,8,10,1,3,10,5,2,20,15,6,0,8,7,4,3,1,5,0.78,1,13,1,20,1,8,1,0,8,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0.03,32,0,0,0,0.76,0.61,1,3,1
request,3.9.35,npm,1076875,439,19,29,3,9,35,0,0,0,0,0,0,0,0,2,1,0,2,0,0,8,4,0,1,0,0,1,1,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.69,1777,49,1,0,0.08,0.06,0,0,0
ctfpipshell,4.5.24,pypi,400,28,2,5,4,5,24,1,3,4,15,1,1,0,7,16,1,0,10,0,7,7,25,2,1,5,9,3,10,4,6,0.92,1,9,0,14,1,6,0,3,8,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0.13,3,0,0,1,0.64,0.65,5,0,1
@espace-client-axafr/configure-store,2.12.37,npm,51,10,2,5,2,12,37,0,5,4,20,1,0,1,3,15,1,5,13,2,3,13,24,0,1,10,7,6,10,0,3,0.65,1,7,1,20,1,7,2,2,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0.08,44,0,0,1,0.39,0.37,0,0,1
000webhost-cache,3.16.22,npm,117,18,2,6,3,16,22,0,3,8,16,1,1,0,1,8,1,1,6,5,2,24,29,1,1,9,8,8,9,5,2,0.52,1,7,0,5,1,5,0,4,3,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0.3,58,1,0,0,0.78,0.49,2,3,1
@checkbox-technology-pty-ltd/custom-block-kit,1.17.3,npm,300,30,2,5,1,17,3,1,4,12,2,1,1,0,6,6,1,1,12,3,4,8,12,8,1,2,2,4,10,1,7,0.78,0,8,0,7,1,4,5,2,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0.17,21,0,0,1,0.43,0.52,4,0,1
darknegrobbc,4.9.15,pypi,22540,92,1,1,4,9,15,1,1,1,14,1,1,0,1,12,1,4,2,2,7,40,8,7,1,3,3,2,8,1,6,0.42,1,4,0,19,1,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.59,177,3,0,0,0.84,0.11,0,3,1
require-port,1.1.50,npm,306,16,1,5,1,1,50,0,1,11,6,0,1,0,6,15,1,4,5,4,1,6,30,1,1,5,3,8,10,2,6,0.76,1,7,1,8,0,6,0,2,2,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0.18,24,2,0,1,0.78,0.82,3,3,1
pyyaml,3.17.32,pypi,2950,105,11,21,3,17,32,0,1,4,4,0,1,0,1,3,1,1,2,0,0,20,3,0,1,1,2,0,1,0,1,0.34,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.94,1249,30,1,1,0.11,0.15,1,0,0
google-cloud-storage,5.11.44,pypi,2199723,1878,2,17,5,11,44,0,0,2,0,0,0,0,1,3,0,1,1,0,0,9,2,1,0,0,0,0,1,0,1,0.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.85,698,36,1,0,0.05,0.14,0,0,0
httpx,1.16.42,pypi,5381060,907,5,9,1,16,42,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,2,1,0,0,1,0,2,0,0,0.07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.64,945,32,1,0,0.08,0.1,0,0,0
awscli,0.5.15,pypi,8335,151,8,30,0,5,15,0,1,1,0,0,0,0,4,4,1,0,2,0,0,11,4,1,1,1,2,1,1,0,1,0.35,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.97,1984,25,0,0,0.08,0.19,0,0,0
bytesp,4.0.30,pypi,59,8,1,6,4,0,30,0,5,12,18,0,1,0,4,12,0,3,12,5,6,6,18,2,1,6,4,5,4,4,5,0.53,1,6,1,8,1,3,4,1,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.38,54,1,0,1,0.67,0.63,4,2,1
atlasctf-21-prod-08,0.11.25,pypi,235,18,1,1,0,11,25,0,4,6,13,1,0,1,1,8,0,3,15,3,6,38,28,1,1,1,2,3,4,5,8,0.62,1,1,0,10,1,2,5,0,3,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0.3,8,2,0,1,0.26,0.81,2,0,1
underscore.string,4.3.24,npm,4140,119,2,7,4,3,24,1,1,3,3,1,1,0,1,5,0,1,3,0,0,11,11,0,0,1,3,0,0,1,0,0.31,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.77,2824,46,0,1,0.24,0.27,0,0,0
airduq,4.11.34,pypi,143,19,1,4,4,11,34,1,1,13,5,1,0,0,3,7,1,1,13,2,4,27,16,2,1,5,5,6,7,3,2,0.77,0,12,1,10,1,7,7,2,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0.13,18,1,0,1,0.63,0.68,3,2,1
@espace-client-axafr/bonus-euro-plus,0.5.32,npm,38899,162,1,5,0,5,32,0,1,0,6,0,1,0,7,9,1,0,8,0,0,26,26,6,1,1,3,5,5,2,1,0.15,0,9,0,7,0,10,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,93,1,0,0,0.54,0.22,3,0,1
nose,0.0.26,pypi,4148068,1810,8,4,0,0,26,1,0,0,2,0,1,1,0,0,0,0,2,0,0,6,1,0,0,0,1,0,1,1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.68,1592,18,0,0,0.09,0.09,0,0,0
eslint,1.13.20,npm,4220025,2047,18,21,1,13,20,0,0,0,1,0,1,1,0,0,0,1,2,0,0,10,4,0,0,0,0,0,1,0,0,0.15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.73,2150,19,0,0,0.0,0.12,0,0,0
pytest,2.5.43,pypi,177128,1273,9,4,2,5,43,0,0,1,1,1,1,1,1,3,0,1,0,0,0,5,3,1,1,0,0,0,1,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.64,2638,6,0,0,0.08,0.08,0,0,0
parcel,2.13.3,npm,7295593,540,8,24,2,13,3,0,0,2,2,0,0,1,2,1,0,1,2,0,0,4,3,0,0,0,0,0,2,0,1,0.13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.86,1763,22,1,0,0.06,0.14,1,0,0
pytorch,0.9.15,pypi,8212450,3965,14,16,0,9,15,0,0,2,0,0,0,0,1,3,0,0,0,0,0,1,5,0,0,0,0,1,2,0,1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.87,1828,45,1,0,0.01,0.02,0,0,0
bokeh,3.20.31,pypi,7171484,3490,18,29,3,20,31,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,3,1,1,0,0,0,2,0,0,0.08,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.78,438,41,0,0,0.05,0.15,0,0,0
rich,5.12.42,pypi,9532745,2675,8,10,5,12,42,0,0,2,1,0,1,0,1,3,0,0,2,0,0,0,5,0,0,0,1,0,0,1,0,0.05,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.69,1243,16,1,0,0.01,0.04,1,0,0
lint-staged,3.12.38,npm,2822557,2378,4,22,3,12,38,0,0,1,0,0,0,0,0,2,1,0,2,0,0,9,1,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.66,2236,16,0,0,0.09,0.11,0,0,0
@espace-client-axafr/savings-types,1.16.50,npm,407,25,2,5,1,16,50,1,1,8,1,1,0,1,8,10,1,4,10,5,4,14,10,7,0,2,7,2,3,5,2,0.85,1,1,1,10,1,2,2,4,4,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0.32,35,1,0,0,0.79,0.52,1,1,1
commander,0.11.44,npm,4272,114,9,9,0,11,44,0,0,3,4,0,0,0,0,6,1,0,5,0,0,9,6,0,1,0,0,0,2,0,1,0.24,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.65,2323,31,1,0,0.14,0.23,0,0,0
chai,3.3.35,npm,3021,137,15,5,3,3,35,1,1,2,0,1,0,0,1,5,0,0,1,0,0,12,3,1,0,0,1,0,4,0,0,0.33,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.67,2306,29,0,0,0.12,0.3,0,0,0
@ctrl/shared-torrent,5.15.4,npm,171,0,1,8,5,15,4,1,1,8,8,0,1,0,5,10,1,1,11,0,1,10,12,7,1,4,9,2,7,1,1,0.8,1,14,1,12,1,4,5,5,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0.4,51,2,0,1,0.74,0.71,3,2,1
bytep,3.20.39,pypi,292,12,1,3,3,20,39,0,3,3,10,1,1,1,7,11,1,2,13,4,8,28,6,2,0,3,3,3,5,5,2,0.92,1,5,1,5,1,1,7,4,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0.1,18,1,0,1,0.29,0.66,1,0,1
