package_name,version,ecosystem,downloads_count,age_days,maintainers_count,dependencies_count,version_major,version_minor,version_patch,is_prerelease,base64_imports,base64_decode_calls,base64_encoded_strings,fernet_usage,aes_usage,rsa_usage,crypto_imports,http_requests,socket_usage,dns_lookups,external_urls_count,ip_addresses_hardcoded,suspicious_domains,file_read_operations,file_write_operations,file_delete_operations,temp_file_usage,sensitive_paths_accessed,eval_calls,exec_calls,subprocess_calls,os_system_calls,shell_commands,obfuscation_score,minified_code,hex_encoded_strings,unicode_obfuscation,string_concatenation_abuse,env_var_access,credential_patterns,token_patterns,password_patterns,api_key_patterns,keylogger_patterns,screenshot_capture,clipboard_access,webcam_access,microphone_access,reverse_shell_patterns,backdoor_patterns,c2_server_patterns,startup_modification,cron_job_creation,registry_modification,has_readme,has_license,has_tests,has_changelog,documentation_score,author_account_age_days,author_other_packages,author_verified,author_email_disposable,typosquatting_score,name_similarity_to_popular,known_vulnerability_count,cve_references,is_malicious
paramiko,2.19.14,pypi,5603662,3837,3,30,2,19,14,0,1,1,0,1,1,1,1,0,1,0,0,0,0,4,2,0,1,0,0,0,1,0,0,0.03,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.91,803,3,1,0,0.07,0.11,0,0,0
bytesp,1.19.6,pypi,90,15,1,1,1,19,6,0,2,14,20,0,1,1,7,19,1,2,15,0,7,16,26,7,1,6,9,1,7,1,5,0.95,1,7,0,11,0,4,3,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0.17,37,1,0,1,0.84,0.59,2,2,1
jest,5.3.18,npm,4139,146,9,9,5,3,18,1,0,5,3,1,0,1,2,5,0,0,4,0,0,17,5,0,1,0,2,0,2,0,2,0.28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.67,2956,30,1,0,0.11,0.15,1,0,0
typescript,0.6.25,npm,9277,143,2,21,0,6,25,1,1,4,4,1,0,0,1,7,0,1,3,0,0,18,10,0,0,0,0,1,4,0,0,0.18,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.66,995,49,1,1,0.18,0.27,0,0,0
@bytedanc-ad/mui-vue3,0.0.47,npm,36500,184,1,4,0,0,47,0,3,5,16,1,0,0,4,15,0,0,5,3,6,20,14,1,0,6,3,8,4,3,4,0.47,1,7,0,12,0,7,6,2,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.35,36,3,0,0,0.41,0.6,5,2,1
derkpy,0.10.13,pypi,416,22,1,2,0,10,13,1,1,11,19,1,0,1,8,13,0,3,4,2,7,6,20,1,1,10,6,6,6,3,1,0.8,0,6,0,20,1,2,2,3,8,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0.29,58,1,0,0,0.64,0.72,4,3,1
pyopenssl,5.13.20,pypi,9867636,673,9,8,5,13,20,0,1,0,1,0,0,0,1,2,1,0,1,0,0,10,3,1,1,0,0,1,0,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.89,1104,31,1,0,0.08,0.13,1,0,0
unittest2,1.2.34,pypi,895,83,2,10,1,2,34,0,1,4,4,1,0,0,3,6,0,0,4,0,0,10,11,1,0,0,1,1,2,1,1,0.3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.65,184,33,0,0,0.15,0.2,1,0,0
scikit-learn,0.1.12,pypi,340866,1504,4,29,0,1,12,0,0,0,2,0,0,0,0,0,0,0,2,0,0,9,1,1,1,0,1,0,0,0,0,0.15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.77,2290,8,0,0,0.07,0.07,0,0,0
psycopg2,4.16.43,pypi,7493053,2505,16,22,4,16,43,0,1,2,0,1,0,1,0,3,0,1,2,0,0,8,0,1,0,0,0,0,0,0,1,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.78,2082,38,0,0,0.09,0.0,0,0,0
@espace-client-axafr/round-button,0.16.8,npm,372,24,1,1,0,16,8,0,1,8,5,1,0,0,3,3,0,0,10,5,6,7,7,2,1,10,7,7,3,2,6,0.9,1,4,0,3,1,10,8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.15,22,2,0,1,0.37,0.9,3,0,1
aeodatav04,1.14.35,pypi,361,13,1,5,1,14,35,1,5,3,5,1,0,0,5,14,0,2,5,5,4,8,12,8,1,10,3,2,4,1,3,0.78,1,0,0,12,0,10,3,2,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0.26,25,1,0,1,0.85,0.96,2,2,1
restify,4.20.17,npm,8167376,920,6,22,4,20,17,0,1,0,2,1,0,0,2,0,0,1,1,0,0,1,5,0,0,0,0,0,2,0,0,0.06,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.66,2686,42,0,0,0.07,0.13,0,0,0
numpy,3.9.35,pypi,1076875,439,19,29,3,9,35,0,0,0,0,0,0,0,0,2,1,0,2,0,0,8,4,0,1,0,0,1,1,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.69,1777,49,1,0,0.08,0.06,0,0,0
@ads-core/types,4.2.50,npm,258,5,1,3,4,2,50,1,3,3,11,1,1,0,8,20,0,0,12,2,8,17,29,10,1,10,6,3,1,5,6,0.71,1,3,1,10,1,0,8,2,8,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0.21,40,0,0,0,0.7,0.83,5,3,1
beautifulsup4,2.12.45,pypi,9392,153,1,0,2,12,45,0,2,4,16,0,1,0,8,11,0,5,6,3,6,30,14,6,1,0,3,4,7,5,3,0.44,0,1,0,9,1,6,3,4,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.37,63,4,0,1,0.12,0.43,5,2,1
@g.genie/api-demo-sample-lib4,1.2.2,npm,152,30,1,7,1,2,2,0,2,8,6,1,0,0,4,7,1,5,2,4,3,9,12,10,0,7,3,4,9,4,1,0.65,0,3,1,2,1,1,6,3,6,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0.04,33,1,0,1,0.65,0.39,0,0,1
babel,2.7.8,npm,3852340,2098,17,15,2,7,8,0,0,1,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.06,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.77,1438,37,1,0,0.08,0.07,0,0,0
compressi,1.10.9,pypi,372,0,2,4,1,10,9,0,2,8,4,1,0,0,5,10,1,1,12,0,6,7,23,7,0,9,5,7,6,1,7,0.88,1,15,0,7,1,3,0,3,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0.36,27,1,0,0,0.66,0.86,5,2,1
ramda,5.9.46,npm,1378,63,14,18,5,9,46,0,1,3,1,1,1,1,1,4,0,0,2,0,0,6,5,1,0,0,0,0,3,0,3,0.37,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.99,2963,50,1,1,0.16,0.21,0,0,0
PaypalOtpBypass,3.16.25,pypi,472,6,2,1,3,16,25,1,5,12,10,1,0,1,8,16,1,3,11,5,5,22,20,1,1,7,5,6,4,4,6,0.63,1,2,1,7,1,8,4,4,6,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.03,42,1,0,1,0.31,0.51,0,2,1
@flutterfire/source-api-reference,2.14.41,npm,278,16,2,4,2,14,41,0,1,15,11,1,1,0,5,8,0,5,7,2,4,13,20,10,1,7,9,8,6,0,7,0.75,0,5,0,17,1,3,0,2,6,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0.09,42,0,0,1,0.43,0.58,4,2,1
@ctrl/magnet-link,5.12.48,npm,104,13,2,4,5,12,48,0,5,4,12,1,1,0,2,10,1,5,4,0,4,34,13,5,1,10,6,0,3,3,1,0.78,0,4,1,15,1,1,4,1,5,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0.26,28,0,0,0,0.84,0.93,4,2,1
@everreal/web-analytics,3.17.6,npm,25,20,1,6,3,17,6,0,4,3,7,1,0,0,7,3,1,2,14,3,5,29,23,8,1,8,4,2,4,2,4,1.0,0,1,1,12,1,0,7,4,8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0.1,38,0,0,1,0.26,0.75,4,2,1
@asyncapi/converter,2.12.48,npm,281,1,1,6,2,12,48,1,1,6,18,1,1,0,4,19,1,4,14,3,8,5,7,4,1,3,6,4,8,5,8,0.73,0,0,1,9,1,4,8,0,8,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0.33,30,0,0,1,0.61,0.56,4,1,1
express-rate-limit,2.7.30,npm,8637550,569,15,24,2,7,30,1,0,0,1,0,1,1,0,3,1,1,1,0,0,2,4,0,1,0,0,0,1,0,0,0.02,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.62,2771,39,1,0,0.08,0.1,0,0,0
@fff-web/fff-utilities,2.20.44,npm,339,12,2,5,2,20,44,0,5,6,3,1,1,0,1,14,1,1,5,2,8,14,8,2,0,2,9,4,2,4,1,0.56,1,4,1,14,1,2,2,5,2,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0.21,19,1,0,0,0.48,0.94,3,3,1
compresai,0.17.35,pypi,72,3,1,4,0,17,35,0,3,10,7,1,1,1,3,8,1,1,11,2,4,9,6,10,1,1,9,8,8,5,2,0.52,1,2,1,5,1,9,7,2,5,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0.25,19,2,0,1,0.31,0.69,2,3,1
advpruebitaa8,0.2.41,pypi,8,19,1,7,0,2,41,1,5,9,2,1,1,0,4,17,1,0,5,3,2,24,26,7,1,7,10,0,6,1,5,0.97,1,8,1,15,1,0,6,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0.26,53,0,0,1,0.52,0.94,3,1,1
@financials2/ui-components,3.14.24,npm,243,8,1,2,3,14,24,0,4,3,3,0,1,0,8,10,1,3,10,5,2,20,15,6,0,8,7,4,3,1,5,0.78,1,13,1,20,1,8,1,0,8,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0.03,32,0,0,0,0.76,0.61,1,3,1
plotly,5.6.1,pypi,6046787,1951,16,20,5,6,1,0,0,1,2,0,1,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.98,1976,33,1,0,0.07,0.14,1,0,0
@copilot-web-widgets/common-core-sdk,4.5.24,npm,400,28,2,5,4,5,24,1,3,4,15,1,1,0,7,16,1,0,10,0,7,7,25,2,1,5,9,3,10,4,6,0.92,1,9,0,14,1,6,0,3,8,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0.13,3,0,0,1,0.64,0.65,5,0,1
@actbase/react-native-kakao-navi,2.12.37,npm,51,10,2,5,2,12,37,0,5,4,20,1,0,1,3,15,1,5,13,2,3,13,24,0,1,10,7,6,10,0,3,0.65,1,7,1,20,1,7,2,2,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0.08,44,0,0,1,0.39,0.37,0,0,1
bytekafka0-0-15,3.16.22,pypi,117,18,2,6,3,16,22,0,3,8,16,1,1,0,1,8,1,1,6,5,2,24,29,1,1,9,8,8,9,5,2,0.52,1,7,0,5,1,5,0,4,3,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0.3,58,1,0,0,0.78,0.49,2,3,1
@equis/core,1.17.3,npm,300,30,2,5,1,17,3,1,4,12,2,1,1,0,6,6,1,1,12,3,4,8,12,8,1,2,2,4,10,1,7,0.78,0,8,0,7,1,4,5,2,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0.17,21,0,0,1,0.43,0.52,4,0,1
@bonk-sdk/ipfs,4.9.15,npm,22540,92,1,1,4,9,15,1,1,1,14,1,1,0,1,12,1,4,2,2,7,40,8,7,1,3,3,2,8,1,6,0.42,1,4,0,19,1,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.59,177,3,0,0,0.84,0.11,0,3,1
@glofe/company,1.1.50,npm,306,16,1,5,1,1,50,0,1,11,6,0,1,0,6,15,1,4,5,4,1,6,30,1,1,5,3,8,10,2,6,0.76,1,7,1,8,0,6,0,2,2,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0.18,24,2,0,1,0.78,0.82,3,3,1
express,3.15.20,npm,5642,81,15,26,3,15,20,0,1,1,4,0,0,0,2,5,0,1,5,0,0,16,10,1,1,1,0,1,1,1,1,0.3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.7,718,16,1,1,0.07,0.12,0,0,0
google-cloud-storage,5.7.20,pypi,8039103,3587,8,7,5,7,20,0,1,1,0,0,0,1,2,0,0,1,0,0,0,6,1,1,0,0,0,0,2,1,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.7,2958,3,1,0,0.04,0.09,0,0,0
vue,1.2.0,npm,2759133,2982,5,23,1,2,0,0,0,2,2,0,0,1,2,1,1,0,2,0,0,3,0,1,0,0,0,0,2,0,0,0.01,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.78,615,28,1,0,0.02,0.06,0,0,0
passlib,4.5.14,pypi,9264,116,8,24,4,5,14,0,0,1,4,0,0,0,0,5,0,0,2,1,0,13,6,0,0,0,1,1,0,0,0,0.31,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.66,2428,45,0,0,0.16,0.14,0,0,0
bytep,4.0.30,pypi,59,8,1,6,4,0,30,0,5,12,18,0,1,0,4,12,0,3,12,5,6,6,18,2,1,6,4,5,4,4,5,0.53,1,6,1,8,1,3,4,1,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.38,54,1,0,1,0.67,0.63,4,2,1
@al-ui/useappinsights,0.11.25,npm,235,18,1,1,0,11,25,0,4,6,13,1,0,1,1,8,0,3,15,3,6,38,28,1,1,1,2,3,4,5,8,0.62,1,1,0,10,1,2,5,0,3,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0.3,8,2,0,1,0.26,0.81,2,0,1
tqdm,4.5.38,pypi,1261,72,10,29,4,5,38,0,1,1,0,0,0,0,4,3,0,0,3,0,0,12,5,0,0,0,2,0,2,0,0,0.2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.9,2897,3,0,0,0.17,0.26,0,0,0
@bgrc/kyc-theme,4.11.34,npm,143,19,1,4,4,11,34,1,1,13,5,1,0,0,3,7,1,1,13,2,4,27,16,2,1,5,5,6,7,3,2,0.77,0,12,1,10,1,7,7,2,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0.13,18,1,0,1,0.63,0.68,3,2,1
atlasctf-21-prod-12,0.5.32,pypi,38899,162,1,5,0,5,32,0,1,0,6,0,1,0,7,9,1,0,8,0,0,26,26,6,1,1,3,5,5,2,1,0.15,0,9,0,7,0,10,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,93,1,0,0,0.54,0.22,3,0,1
rich,4.12.22,pypi,4776023,2060,12,27,4,12,22,0,0,0,0,0,0,0,1,0,1,1,2,0,0,9,1,1,0,0,0,0,1,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.84,2415,29,0,0,0.06,0.07,0,0,0
commander,2.13.23,npm,8271327,3462,11,27,2,13,23,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,5,0,0,0,1,0,1,0,0,0.07,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.97,2107,13,0,0,0.01,0.02,0,0,0
passlib,1.0.47,pypi,6971821,2633,10,27,1,0,47,0,0,2,0,1,0,0,0,2,1,0,0,0,0,9,0,1,0,0,1,0,0,1,0,0.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.69,691,6,1,0,0.04,0.08,0,0,0
tornado,5.10.19,pypi,9030691,2844,18,18,5,10,19,1,1,1,0,1,0,0,2,2,0,0,2,0,0,4,2,0,1,0,1,0,1,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.87,1136,42,0,0,0.08,0.1,0,0,0
aiohttp,2.3.2,pypi,9828826,702,7,15,2,3,2,1,0,0,1,0,0,0,0,0,1,1,1,0,0,2,5,1,1,0,0,0,2,0,1,0.15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.72,2007,29,0,0,0.08,0.13,0,0,0
cors,2.9.36,npm,3099729,429,20,28,2,9,36,0,0,2,2,1,0,1,0,2,0,1,1,0,0,9,3,1,1,0,0,0,0,0,1,0.11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.94,1278,21,0,0,0.08,0.06,0,0,0
gatsby,0.8.41,npm,9925509,2207,9,22,0,8,41,0,0,0,1,0,0,1,1,1,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0.13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.61,1492,15,0,0,0.08,0.04,0,0,0
helmet,5.0.19,npm,637080,856,8,6,5,0,19,0,0,1,0,0,0,0,0,3,0,0,0,0,0,9,3,0,1,0,1,0,0,0,0,0.05,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.96,623,20,1,0,0.03,0.07,0,0,0
bytemlperf,1.16.50,pypi,407,25,2,5,1,16,50,1,1,8,1,1,0,1,8,10,1,4,10,5,4,14,10,7,0,2,7,2,3,5,2,0.85,1,1,1,10,1,2,2,4,4,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0.32,35,1,0,0,0.79,0.52,1,1,1
express,1.7.48,npm,3287,180,12,6,1,7,48,0,1,5,0,0,0,1,4,7,0,0,3,0,0,15,12,1,0,1,3,0,4,0,2,0.3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.79,789,24,1,0,0.22,0.23,0,0,0
rollup,2.7.35,npm,8898,101,5,28,2,7,35,0,1,2,5,0,1,1,4,8,0,0,4,1,0,13,12,0,1,0,0,0,4,0,0,0.31,1,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.89,568,31,0,1,0.25,0.18,0,0,0
@discord-external/activity-iframe-sdk,5.15.4,npm,171,0,1,8,5,15,4,1,1,8,8,0,1,0,5,10,1,1,11,0,1,10,12,7,1,4,9,2,7,1,1,0.8,1,14,1,12,1,4,5,5,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0.4,51,2,0,1,0.74,0.71,3,2,1
detectron4,3.20.39,pypi,292,12,1,3,3,20,39,0,3,3,10,1,1,1,7,11,1,2,13,4,8,28,6,2,0,3,3,3,5,5,2,0.92,1,5,1,5,1,1,7,4,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0.1,18,1,0,1,0.29,0.66,1,0,1
